schema_name,tbl_name,col_name,col_type,max_length,col_default,nullable,ord_position
public,active_jobs,job_id,uuid,null,null,NO,1
public,active_jobs,homeowner_id,uuid,null,null,NO,2
public,active_jobs,professional_id,uuid,null,null,YES,3
public,active_jobs,service_id,uuid,null,null,NO,4
public,active_jobs,current_stage,text,null,null,NO,5
public,active_jobs,created_at,timestamp with time zone,null,now(),NO,6
public,active_jobs,updated_at,timestamp with time zone,null,now(),NO,7
public,active_jobs,metadata,jsonb,null,null,YES,8
public,active_jobs,stage_updated_at,timestamp with time zone,null,now(),YES,9
public,active_jobs,scheduled_time,timestamp with time zone,null,null,YES,10
public,active_jobs,estimated_duration,integer,null,null,YES,11
public,active_jobs,stage_notes,text,null,null,YES,12
public,active_jobs,stage_metadata,jsonb,null,'{}'::jsonb,YES,13
public,conversations,conversation_id,uuid,null,uuid_generate_v4(),NO,1
public,conversations,homeowner_id,uuid,null,null,NO,2
public,conversations,professional_id,uuid,null,null,NO,3
public,conversations,job_id,uuid,null,null,YES,4
public,conversations,last_message_at,timestamp with time zone,null,now(),YES,5
public,conversations,created_at,timestamp with time zone,null,now(),YES,6
public,conversations,updated_at,timestamp with time zone,null,now(),YES,7
public,diagnosis_findings,finding_id,uuid,null,uuid_generate_v4(),NO,1
public,diagnosis_findings,job_id,uuid,null,null,NO,2
public,diagnosis_findings,description,text,null,null,NO,3
public,diagnosis_findings,severity,text,null,null,YES,4
public,diagnosis_findings,recommended_action,text,null,null,YES,5
public,diagnosis_findings,recorded_by,uuid,null,null,YES,6
public,diagnosis_findings,created_at,timestamp with time zone,null,now(),YES,7
public,diagnosis_findings,updated_at,timestamp with time zone,null,now(),YES,8
public,diagnosis_findings,title,text,null,'Issue Found'::text,NO,9
public,diagnosis_findings,icon_type,text,null,null,YES,10
public,diagnosis_findings_with_photos,finding_id,uuid,null,null,YES,1
public,diagnosis_findings_with_photos,job_id,uuid,null,null,YES,2
public,diagnosis_findings_with_photos,description,text,null,null,YES,3
public,diagnosis_findings_with_photos,severity,text,null,null,YES,4
public,diagnosis_findings_with_photos,recommended_action,text,null,null,YES,5
public,diagnosis_findings_with_photos,recorded_by,uuid,null,null,YES,6
public,diagnosis_findings_with_photos,created_at,timestamp with time zone,null,null,YES,7
public,diagnosis_findings_with_photos,updated_at,timestamp with time zone,null,null,YES,8
public,diagnosis_findings_with_photos,title,text,null,null,YES,9
public,diagnosis_findings_with_photos,icon_type,text,null,null,YES,10
public,diagnosis_findings_with_photos,photos_count,bigint,null,null,YES,11
public,diagnosis_findings_with_photos,photo_urls,text,null,null,YES,12
public,diagnosis_phase,job_id,uuid,null,null,NO,1
public,diagnosis_phase,diagnosis_started_at,timestamp with time zone,null,null,NO,2
public,diagnosis_phase,diagnosis_ended_at,timestamp with time zone,null,null,YES,3
public,diagnosis_phase,findings_summary,text,null,null,YES,4
public,diagnosis_phase,recommended_actions,ARRAY,null,null,YES,5
public,en_route_phase,job_id,uuid,null,null,NO,1
public,en_route_phase,route_started_at,timestamp with time zone,null,null,NO,2
public,en_route_phase,arrived_at,timestamp with time zone,null,null,YES,3
public,en_route_phase,estimated_arrival,timestamp with time zone,null,null,YES,4
public,en_route_phase,distance_km,double precision,null,null,YES,5
public,en_route_phase,transport_mode,text,null,null,YES,6
public,error_logs,log_id,uuid,null,uuid_generate_v4(),NO,1
public,error_logs,error_message,text,null,null,NO,2
public,error_logs,error_details,text,null,null,YES,3
public,error_logs,source,text,null,null,YES,4
public,error_logs,user_id,uuid,null,null,YES,5
public,error_logs,created_at,timestamp with time zone,null,now(),YES,6
public,finding_photos,finding_photo_id,uuid,null,uuid_generate_v4(),NO,1
public,finding_photos,finding_id,uuid,null,null,NO,2
public,finding_photos,photo_id,uuid,null,null,NO,3
public,finding_photos,is_primary,boolean,null,false,YES,4
public,finding_photos,created_at,timestamp with time zone,null,now(),YES,5
public,homeowner_location_updates,id,uuid,null,uuid_generate_v4(),NO,1
public,homeowner_location_updates,homeowner_id,uuid,null,null,NO,2
public,homeowner_location_updates,latitude,double precision,null,null,NO,3
public,homeowner_location_updates,longitude,double precision,null,null,NO,4
public,homeowner_location_updates,created_at,timestamp with time zone,null,"timezone('utc'::text, now())",NO,5
public,homeowner_profiles,homeowner_id,uuid,null,null,NO,1
public,homeowner_profiles,address,text,null,null,YES,2
